Main ,Type,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18
www.canada.ca/en/immigration-refugees-citizenship/services/application/account.html,Create account/ Sign in ,0,0,0,0,0,0,0,0,0,0,56327,4037032,5227119,4054303,4769766,4955329,5910391,5761812,6156549,5918724,5452482,6027899,5590757,5407173
www.canada.ca/en/services/immigration-citizenship.html,Home,0,0,0,0,0,0,0,0,0,0,46556,3261877,4420143,3430842,3943679,3938156,4352545,4394608,4723468,4499296,4167283,4635126,4369304,4088212
www.canada.ca/en/immigration-refugees-citizenship/services/application.html,My application,0,0,0,0,0,0,0,0,0,0,19836,1288175,1733947,1292100,1499809,1526759,1779053,1719808,1846019,1678651,1542948,1777099,1604519,1540302
www.canada.ca/en/immigration-refugees-citizenship/services/application/check-status.html,Application status,0,0,0,0,0,0,0,0,0,0,16193,908564,1055939,925730,1084107,1103753,1195814,1160433,1232605,1150115,1019349,1082604,1010685,889680
www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada.html,Visit Canada,0,0,0,0,0,0,0,0,0,0,8179,626816,902079,798556,977570,1035093,1126521,1040149,1029558,885781,796878,820068,734315,639783
www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada.html,Immigirate to Canada,0,0,0,0,0,0,0,0,0,0,8263,667753,944847,756015,793796,737454,744241,810801,904179,855121,778981,803104,748071,698783
www.canada.ca/en/services/immigration-citizenship/search.html,General Search,0,0,0,0,0,0,0,0,0,0,0,4,548970,726772,866246,986896,976002,941792,925485,905255,806393,851815,801135,717487
www.canada.ca/en/immigration-refugees-citizenship/services/application/application-forms-guides.html,Application forms and guides,0,0,0,0,0,0,0,0,0,0,6402,435145,640712,586581,735539,750057,830510,775321,787988,705964,656765,710434,656502,547077
www.canada.ca/en/immigration-refugees-citizenship/services/come-canada-tool.html,Come to Canada tool,0,0,0,0,0,0,0,0,0,0,6870,535030,743883,619947,654441,635571,705030,756019,766563,569950,559072,561832,533013,472316
www.canada.ca/fr/immigration-refugies-citoyennete/services/demande/compte.html,Create account/ Sign in (French),0,0,0,0,0,0,0,0,0,0,5670,571309,655318,520780,550462,506105,591126,639272,701562,669068,618424,612130,621004,696229
www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry.html,Immigirate through Express entry,0,0,0,0,0,0,0,0,0,0,5171,474350,760267,574006,553396,542968,543760,595827,661864,649833,614282,604196,553228,490991
www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/eta.html,Electronic Travel authorization,0,0,0,0,0,0,0,0,0,0,5051,429205,521385,459795,529832,560666,660966,686107,682667,575630,466013,405862,348325,340844
www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/eta/apply.html,Apply for ETA,0,0,0,0,0,0,0,0,0,2,4474,364353,464790,424488,523418,519914,612058,640511,625723,521350,441610,373089,321470,303994
www.canada.ca/fr/services/immigration-citoyennete.html,Home (French),0,0,0,0,0,0,0,0,0,0,4939,433464,535373,417549,435800,410453,437400,450656,508758,500920,483984,501384,484520,491950
www.canada.ca/en/immigration-refugees-citizenship/services/work-canada.html,Work in Canada,0,0,0,0,0,0,0,0,0,0,4199,326813,470866,384289,384824,373127,400020,434127,449412,420977,402808,411908,396444,354728
www.canada.ca/en/immigration-refugees-citizenship/services/application/check-processing-times.html,Processing time,0,0,0,0,0,0,0,0,0,0,3,135,140,124,155,99,185,164,16186,1179188,1008776,1040960,982387,883518
www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/eta/apply-passport-information.html,Apply for ETA,0,0,0,0,0,0,0,0,0,0,3043,257766,310443,291359,352655,376278,460189,503714,503510,416712,372632,273634,234957,229839
www.canada.ca/en/immigration-refugees-citizenship/services/study-canada.html,Study in Canada,0,0,0,0,0,0,0,0,0,0,3143,223758,312514,270323,317689,340691,395620,456016,439467,385582,337212,347660,333259,278450
www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/apply-visitor-visa.html,Apply for visitor visa,0,0,0,0,0,0,0,0,0,0,2574,193167,265216,248303,300107,317784,436374,418833,406942,369392,350794,380752,360883,311605
www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/works.html,Express entry process,0,0,0,0,0,0,0,0,0,0,2504,236079,361392,272817,269476,251616,268784,307628,409216,400005,391014,387963,356281,310207
www.canada.ca/en/immigration-refugees-citizenship/services/application/application-forms-guides/application-canadian-citizenship-adults.html,Application for Citizenship,0,0,0,0,0,0,0,0,0,0,6138,313465,459694,356694,353579,325904,296131,282744,316616,312295,290889,310804,274774,249141
www.canada.ca/en/immigration-refugees-citizenship/services/application/application-forms-guides/guide-5256-applying-visitor-visa-temporary-resident-visa.html,Apply for Temporary resident visa,0,0,0,0,0,0,0,0,0,0,2610,187122,287044,284919,374618,377648,370698,313794,314151,306205,258712,265364,248711,215493
www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/become-candidate/eligibility/find-national-occupation-code.html,Find your NOC,0,0,0,0,0,0,0,0,0,0,4330,390684,537571,488939,518113,510820,573697,525323,24516,23739,25923,316,272,237
www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/eligibility/find-national-occupation-code.html,Find your NOC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81413,620013,609430,583740,606100,558392,496057
www.canada.ca/en/immigration-refugees-citizenship/services/canadian-citizenship.html,Canadian Citizenship home,0,0,0,0,0,0,0,0,0,0,4439,232257,318320,256726,268571,256088,239393,239321,252178,252723,234226,252401,219832,196197
www.canada.ca/en/immigration-refugees-citizenship/corporate/contact-ircc.html,Contact IRCC,0,0,0,0,0,0,0,0,0,0,2796,177449,233495,197882,223403,250629,280951,273980,287364,279151,241532,259360,252961,216217
www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports.html,Canadian Passports,0,0,0,0,0,0,0,0,0,0,4013,210256,340964,277105,283398,261528,241531,221148,230419,211597,187679,219210,219157,216712
Total ,All immigration types ,0,0,0,0,0,0,0,0,0,2,229710,16571772,22711467,18639839,21281051,21589858,24187459,24210173,25592559,25041057,22902722,24303864,22596001,21066510
